Pair ID,Dataset,Language model,Specificity,Words,Readability score,Cosine similarity,Bi-encoder similarity,Cross-encoder similarity,LLM-judge similarity,LLM-judge similarity SD,LLM-judge similarity MAD
pair_0,collaborative_ssd_case_inspection,gpt-oss:20b,1,20,93.47500000000002,0.5972598827888347,0.9171081185340881,0.8021776,1.0,0.0,0.0
pair_1,collaborative_ssd_case_inspection,gpt-oss:20b,1,18,85.16499999999999,0.5163977794943223,0.9379768371582031,0.8642999,1.0,0.0,0.0
pair_2,collaborative_ssd_case_inspection,gpt-oss:20b,1,24,83.77500000000002,0.6460582824697985,0.9572550058364868,0.9772727,1.0,0.0,0.0
pair_3,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,85.13947368421054,0.5984437489312765,0.9364081025123596,0.9037956,1.0,0.0,0.0
pair_4,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,92.86285714285715,0.6487446070815475,0.9265101552009583,0.89408296,1.0,0.0,0.0
pair_5,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9282023310661316,0.8101539,1.0,0.0,0.0
pair_6,collaborative_ssd_case_inspection,gpt-oss:20b,1,23,91.53347826086959,0.638888888888889,0.9182355999946594,0.92668855,1.0,0.0,0.0
pair_7,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9299882054328918,0.8118713,1.0,0.0,0.0
pair_8,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,92.86285714285715,0.606217782649107,0.9122082591056824,0.9462081,1.0,0.0,0.0
pair_9,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9288771152496338,0.823375,1.0,0.0,0.0
pair_10,collaborative_ssd_case_inspection,gpt-oss:20b,1,26,82.82961538461542,0.6188422143604214,0.9338132739067078,0.95852584,0.8,0.3521363372331802,0.0
pair_11,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9340952634811401,0.8034665,1.0,0.0,0.0
pair_12,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9313924312591553,0.87796664,1.0,0.0,0.0
pair_13,collaborative_ssd_case_inspection,gpt-oss:20b,1,16,84.845,0.8112086463534662,0.9687366485595703,0.8923863,1.0,0.0,0.0
pair_14,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,94.04473684210527,0.5516772843673704,0.9121121764183044,0.74861753,1.0,0.0,0.0
pair_15,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9311363101005554,0.8811081,1.0,0.0,0.0
pair_16,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9349767565727234,0.8883226,1.0,0.0,0.0
pair_17,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,94.04473684210527,0.777986605215499,0.9531750082969666,0.94131136,1.0,0.0,0.0
pair_18,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,94.04473684210527,0.6350852961085884,0.9197515249252319,0.96739364,1.0,0.0,0.0
pair_19,collaborative_ssd_case_inspection,gpt-oss:20b,1,16,90.13250000000001,0.36860489038724287,0.8911240696907043,0.82074916,1.0,0.0,0.0
pair_20,collaborative_ssd_case_inspection,gpt-oss:20b,1,22,84.52318181818181,0.6273764344284781,0.9356990456581116,0.8443639,1.0,0.0,0.0
pair_21,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9273361563682556,0.8227917,1.0,0.0,0.0
pair_22,collaborative_ssd_case_inspection,gpt-oss:20b,1,26,86.08346153846156,0.612825877028341,0.9542902112007141,0.9677985,1.0,0.0,0.0
pair_23,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.68383685937623,0.9308561086654663,0.77366745,1.0,0.0,0.0
pair_24,collaborative_ssd_case_inspection,gpt-oss:20b,1,28,81.72928571428575,0.6982972487551755,0.9586902856826782,0.980568,1.0,0.0,0.0
pair_25,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9285559058189392,0.83422685,1.0,0.0,0.0
pair_26,collaborative_ssd_case_inspection,gpt-oss:20b,1,26,86.08346153846156,0.612825877028341,0.9550208449363708,0.9731857,1.0,0.0,0.0
pair_27,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9332997798919678,0.81769216,1.0,0.0,0.0
pair_28,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,85.13947368421054,0.7832758944079431,0.9647342562675476,0.8727017,1.0,0.0,0.0
pair_29,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9341447353363037,0.8204895,1.0,0.0,0.0
pair_30,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9331339001655579,0.8099696,0.64,0.440908153700972,0.0
pair_31,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.933617889881134,0.8306774,0.64,0.440908153700972,0.0
pair_32,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.6908083950040845,0.9328631162643433,0.7674769,1.0,0.0,0.0
pair_33,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,92.86285714285715,0.7377556599909154,0.9482519626617432,0.9776643,0.96,0.04898979485566355,0.0
pair_34,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,94.04473684210527,0.5773502691896258,0.9253135323524475,0.94753253,1.0,0.0,0.0
pair_35,collaborative_ssd_case_inspection,gpt-oss:20b,1,27,88.56333333333333,0.5806787313861094,0.909515380859375,0.9662859,0.8600000000000001,0.04898979485566355,0.0
pair_36,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9310720562934875,0.8474974,1.0,0.0,0.0
pair_37,collaborative_ssd_case_inspection,gpt-oss:20b,1,29,84.04827586206898,0.7263719977186399,0.943051278591156,0.97652155,1.0,0.0,0.0
pair_38,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9294169545173645,0.800837,1.0,0.0,0.0
