Pair ID,Dataset,Language model,Specificity,Words,Words shorter,Readability score,Readability score shorter,Cosine similarity,Cosine similarity shorter,Bi-encoder similarity,Bi-encoder similarity shorter,Cross-encoder similarity,Cross-encoder similarity shorter,Cross-encoder inference,Cross-encoder inference shorter
pair_0,collaborative_ssd_case_inspection,gpt-oss:20b,3,30,20,103.625,107.855,0.668012825289884,0.6596980106089946,0.7791641354560852,0.7817726135253906,0.6809474,0.7041343,contradiction,contradiction
pair_1,collaborative_ssd_case_inspection,gpt-oss:20b,3,82,41,92.88772357723579,98.04626016260163,0.8646612923630425,0.7383061172221704,0.87665855884552,0.7875085473060608,0.6747506,0.62609494,contradiction,contradiction
pair_2,collaborative_ssd_case_inspection,gpt-oss:20b,3,75,47,97.98600000000002,95.90875,0.8175073747779505,0.7557151757651377,0.8510339260101318,0.8134239912033081,0.7323918,0.70066565,entailment,entailment
pair_3,collaborative_ssd_case_inspection,gpt-oss:20b,3,47,28,105.28416666666669,106.06571428571431,0.6298434280386236,0.6166976772187361,0.8091949820518494,0.7814006209373474,0.8172458,0.88131815,entailment,entailment
pair_4,collaborative_ssd_case_inspection,gpt-oss:20b,3,75,33,99.3955,93.12454545454547,0.8615400177057891,0.5085724725785661,0.8158672451972961,0.7171210050582886,0.61106426,0.71237904,neutral,neutral
pair_5,collaborative_ssd_case_inspection,gpt-oss:20b,3,98,41,79.53724489795918,69.15845528455286,0.7030577744614722,0.40617246305473126,0.7790032029151917,0.7055385112762451,0.62120914,0.6409774,entailment,entailment
pair_6,collaborative_ssd_case_inspection,gpt-oss:20b,3,113,58,95.63244100294986,97.30715517241381,0.7622262496806438,0.7294059980615741,0.7680277824401855,0.7869175672531128,0.63918775,0.56981325,neutral,neutral
pair_7,collaborative_ssd_case_inspection,gpt-oss:20b,3,290,139,83.12310344827587,80.07664179104478,0.893733311267672,0.8128959424812628,0.8259925842285156,0.8217893242835999,0.5780295,0.6760904,entailment,entailment
pair_8,collaborative_ssd_case_inspection,gpt-oss:20b,3,80,52,93.305,94.88012820512822,0.796589656323388,0.8677283984625841,0.7679833173751831,0.837091326713562,0.656313,0.75824827,entailment,entailment
pair_9,collaborative_ssd_case_inspection,gpt-oss:20b,3,90,36,87.27000000000001,81.38761904761907,0.7953075236033419,0.6216110462079562,0.7773105502128601,0.7225357294082642,0.6428903,0.6914626,neutral,neutral
pair_10,collaborative_ssd_case_inspection,gpt-oss:20b,3,41,37,85.02419512195122,98.7185945945946,0.8211933000610783,0.813983852382218,0.7643391489982605,0.7721719145774841,0.6966899,0.716877,neutral,neutral
pair_11,collaborative_ssd_case_inspection,gpt-oss:20b,3,112,49,79.8597142857143,81.48523809523812,0.8918342135814485,0.7285713681520521,0.8802945017814636,0.7973803877830505,0.6910672,0.782361,entailment,entailment
pair_12,collaborative_ssd_case_inspection,gpt-oss:20b,3,156,86,82.30941176470591,72.89000000000001,0.8943468488429528,0.7720030472588196,0.8151831030845642,0.7388962507247925,0.61036515,0.69011164,neutral,neutral
pair_13,collaborative_ssd_case_inspection,gpt-oss:20b,3,139,74,63.55816707218169,69.48597297297299,0.5511265829189727,0.6481124918295915,0.7633855938911438,0.7880089282989502,0.5464118,0.589669,neutral,neutral
pair_14,collaborative_ssd_case_inspection,gpt-oss:20b,3,197,77,84.9588853637902,86.82737662337664,0.8899613517239772,0.8377140031943141,0.8324345350265503,0.7578827142715454,0.622031,0.69656944,entailment,entailment
pair_15,collaborative_ssd_case_inspection,gpt-oss:20b,3,25,9,75.70750000000002,66.10000000000002,0.05945939987084908,0.0,0.03570760786533356,0.04884655028581619,0.6414303,0.6918643,neutral,neutral
pair_16,collaborative_ssd_case_inspection,gpt-oss:20b,3,139,64,73.47424460431657,70.17854166666667,0.7888426657190678,0.7558171766723727,0.8453553318977356,0.8161182999610901,0.5683395,0.6186144,contradiction,contradiction
pair_17,collaborative_ssd_case_inspection,gpt-oss:20b,3,57,35,89.88505263157896,98.30761904761907,0.811559405625274,0.7409616153305673,0.7772708535194397,0.7330915331840515,0.70927185,0.7525732,entailment,entailment
pair_18,collaborative_ssd_case_inspection,gpt-oss:20b,3,103,44,94.97961165048545,95.68818181818183,0.8232947198235963,0.7110853743298537,0.8308488130569458,0.7792509198188782,0.64102167,0.7009369,contradiction,contradiction
pair_19,collaborative_ssd_case_inspection,gpt-oss:20b,3,63,34,91.98885714285717,93.31401960784316,0.8470150575275568,0.6000231869496205,0.8410465121269226,0.7609584927558899,0.69322103,0.6200005,neutral,neutral
pair_20,collaborative_ssd_case_inspection,gpt-oss:20b,3,99,57,95.0618181818182,101.75873684210526,0.8353444003857113,0.7472235441055797,0.756612241268158,0.6876558661460876,0.65458137,0.66252315,entailment,entailment
pair_21,collaborative_ssd_case_inspection,gpt-oss:20b,3,102,43,76.78000000000003,79.84468023255816,0.8033911338810286,0.6323003265984303,0.7834997773170471,0.69737708568573,0.64545256,0.65914834,entailment,entailment
pair_22,collaborative_ssd_case_inspection,gpt-oss:20b,3,91,57,84.52874542124543,92.85347368421054,0.7434138324175638,0.6800481834220362,0.7731261253356934,0.7557001709938049,0.6966415,0.66478324,neutral,neutral
pair_23,collaborative_ssd_case_inspection,gpt-oss:20b,3,87,39,59.69182170542638,69.90403846153849,0.6629565546115797,0.22730761574657374,0.724345326423645,0.6868135929107666,0.6082343,0.5981131,neutral,neutral
pair_24,collaborative_ssd_case_inspection,gpt-oss:20b,3,78,58,98.80869230769233,101.70927586206898,0.8704094812968105,0.8283488820968719,0.8196801543235779,0.7940362095832825,0.67763716,0.67102695,neutral,neutral
pair_25,collaborative_ssd_case_inspection,gpt-oss:20b,3,119,64,76.14106418918922,84.70954022988506,0.7715363090992572,0.7414283135456863,0.721824586391449,0.6849772334098816,0.5819358,0.65393037,contradiction,contradiction
pair_26,collaborative_ssd_case_inspection,gpt-oss:20b,3,98,55,96.16074829931975,97.51147727272728,0.8219105404553972,0.7328083733536606,0.8201853036880493,0.7859852313995361,0.67974305,0.7516686,neutral,neutral
pair_27,collaborative_ssd_case_inspection,gpt-oss:20b,3,13,15,83.09903846153848,108.9825,0.36678121060012825,0.6579983491187601,0.5871432423591614,0.5754262804985046,0.7235101,0.72206044,entailment,entailment
pair_28,collaborative_ssd_case_inspection,gpt-oss:20b,3,83,44,75.69182228915665,78.755,0.8490186848180394,0.7102798692008789,0.7635346055030823,0.7654970288276672,0.6780856,0.7660125,neutral,neutral
pair_29,collaborative_ssd_case_inspection,gpt-oss:20b,3,20,14,21.565000000000026,54.70142857142861,0.02835063437956501,0.011799784121956747,0.020318984985351562,0.04093718156218529,0.60069084,0.6615106,neutral,neutral
pair_30,collaborative_ssd_case_inspection,gpt-oss:20b,3,154,47,91.22314705882353,88.42000000000003,0.8867089525602508,0.5802946604772635,0.7873094081878662,0.608868420124054,0.6421821,0.5897005,neutral,neutral
pair_31,collaborative_ssd_case_inspection,gpt-oss:20b,3,45,26,67.53000000000003,86.70466666666667,0.4106690265921436,0.5293723184788593,0.5488457083702087,0.5519001483917236,0.6721286,0.6994333,entailment,entailment
pair_32,collaborative_ssd_case_inspection,gpt-oss:20b,3,122,29,60.023098360655766,46.12413793103451,0.8164088716676304,0.3783916613013854,0.7741725444793701,0.6305731534957886,0.718535,0.6043737,neutral,neutral
pair_33,collaborative_ssd_case_inspection,gpt-oss:20b,3,85,66,91.04588235294119,93.45518181818183,0.8505821797320344,0.8162307868144943,0.8086405396461487,0.7825194597244263,0.6866185,0.6676211,contradiction,contradiction
pair_34,collaborative_ssd_case_inspection,gpt-oss:20b,3,48,31,97.71750000000002,103.55956989247314,0.6372064340203994,0.7046997324349199,0.7509409785270691,0.7656686305999756,0.67003655,0.6535839,contradiction,contradiction
pair_35,collaborative_ssd_case_inspection,gpt-oss:20b,3,91,37,91.37626373626377,101.4138175675676,0.8237384381317441,0.7255892438417321,0.8114683032035828,0.7560137510299683,0.64841545,0.7268859,entailment,entailment
pair_36,collaborative_ssd_case_inspection,gpt-oss:20b,3,84,63,79.77000000000001,80.77714285714288,0.8590105046897963,0.8184705482522308,0.7794132828712463,0.781724750995636,0.6864618,0.70857334,entailment,entailment
pair_37,collaborative_ssd_case_inspection,gpt-oss:20b,3,84,53,92.91785714285714,105.09109433962267,0.8107942848847559,0.8103891675956266,0.7677068114280701,0.7681223154067993,0.63693875,0.59124017,neutral,neutral
pair_38,collaborative_ssd_case_inspection,gpt-oss:20b,3,246,119,85.75290616246501,92.3471052631579,0.8942511649352433,0.8801985939050891,0.7918922901153564,0.7975647449493408,0.69900036,0.6832408,entailment,entailment
pair_39,collaborative_ssd_case_inspection,gpt-oss:20b,3,97,61,91.8950657894737,97.04805327868856,0.89474044591339,0.8017198156717507,0.8687443733215332,0.8290044665336609,0.7217593,0.73302525,entailment,entailment
pair_40,collaborative_ssd_case_inspection,gpt-oss:20b,3,135,69,82.57000000000001,86.04076086956525,0.8348549880157418,0.7717357753052643,0.8193902373313904,0.781337559223175,0.6369585,0.6380513,neutral,neutral
pair_41,collaborative_ssd_case_inspection,gpt-oss:20b,3,41,24,97.38734756097563,92.43000000000002,0.7684628414049993,0.7323258466439976,0.7600278258323669,0.7748446464538574,0.7213115,0.64664596,neutral,neutral
pair_42,collaborative_ssd_case_inspection,gpt-oss:20b,3,113,55,75.1544247787611,80.59147727272726,0.7472440821071821,0.7346844130259518,0.8200651407241821,0.8268659710884094,0.6329417,0.6559874,contradiction,contradiction
pair_43,collaborative_ssd_case_inspection,gpt-oss:20b,3,148,47,78.48175675675675,55.31090909090912,0.8800422914559599,0.5809953592962892,0.8337548971176147,0.7141358852386475,0.685271,0.70073944,entailment,entailment
pair_44,collaborative_ssd_case_inspection,gpt-oss:20b,3,128,48,79.5575,60.862500000000026,0.6937431241506279,0.6868935756663189,0.7850382924079895,0.7954385280609131,0.5390481,0.718318,neutral,neutral
pair_45,collaborative_ssd_case_inspection,gpt-oss:20b,3,222,95,83.6825236966825,88.66456521739131,0.8617573451070415,0.84104935352312,0.8034662008285522,0.8125646710395813,0.5646805,0.53795165,neutral,neutral
pair_46,collaborative_ssd_case_inspection,gpt-oss:20b,3,162,106,74.74166233766235,87.54295597484277,0.8651991694707277,0.8366206524415757,0.8641357421875,0.8594471216201782,0.7031012,0.6983126,entailment,entailment
pair_47,collaborative_ssd_case_inspection,gpt-oss:20b,3,132,48,66.97106060606063,70.745,0.8749597763902692,0.6894422098416679,0.7949948310852051,0.8077780604362488,0.6364105,0.7147537,neutral,neutral
pair_48,collaborative_ssd_case_inspection,gpt-oss:20b,3,82,48,99.39875609756099,95.42,0.829590373936263,0.773260421387819,0.8082090020179749,0.7591213583946228,0.7045735,0.7779902,neutral,neutral
pair_49,collaborative_ssd_case_inspection,gpt-oss:20b,3,38,23,97.00828947368421,99.52771739130438,0.6775493112166596,0.5944811419439048,0.756693422794342,0.7070517539978027,0.6571175,0.6576689,contradiction,contradiction
