Pair ID,Dataset,Language model,Specificity,Words,Readability score,Cosine similarity
pair_0,collaborative_ssd_case_inspection,qwen3:32b,3,31,95.26552419354839,0.5986776414857318
pair_1,collaborative_ssd_case_inspection,qwen3:32b,3,57,96.26618421052632,0.783132475000926
pair_2,collaborative_ssd_case_inspection,qwen3:32b,3,71,91.14030985915494,0.7639825187576625
pair_3,collaborative_ssd_case_inspection,qwen3:32b,3,32,95.60875000000001,0.7211262359066792
pair_4,collaborative_ssd_case_inspection,qwen3:32b,3,76,98.24675438596495,0.8348411794827377
pair_5,collaborative_ssd_case_inspection,qwen3:32b,3,60,88.905,0.635429040887419
pair_6,collaborative_ssd_case_inspection,qwen3:32b,3,72,88.47500000000002,0.8704395249961114
pair_7,collaborative_ssd_case_inspection,qwen3:32b,3,56,73.27857142857142,0.367405696096486
pair_8,collaborative_ssd_case_inspection,qwen3:32b,3,38,94.78197368421053,0.7686896364242705
pair_9,collaborative_ssd_case_inspection,qwen3:32b,3,43,81.81212209302328,0.6758796696086695
pair_10,collaborative_ssd_case_inspection,qwen3:32b,3,57,94.4133552631579,0.8602748213207759
pair_11,collaborative_ssd_case_inspection,qwen3:32b,3,31,81.94120967741938,0.49139209827344027
pair_12,collaborative_ssd_case_inspection,qwen3:32b,3,53,78.76371069182392,0.6053463020064931
pair_13,collaborative_ssd_case_inspection,qwen3:32b,3,59,62.81290254237291,0.5834606493189429
pair_14,collaborative_ssd_case_inspection,qwen3:32b,3,120,85.85027905198778,0.7664100353973885
pair_15,collaborative_ssd_case_inspection,qwen3:32b,3,53,49.04693396226415,0.6100557578623592
pair_16,collaborative_ssd_case_inspection,qwen3:32b,3,60,81.85500000000002,0.7646323863767033
pair_17,collaborative_ssd_case_inspection,qwen3:32b,3,61,99.82182377049182,0.8022041851663341
pair_18,collaborative_ssd_case_inspection,qwen3:32b,3,68,93.31401960784316,0.7855687376242295
pair_19,collaborative_ssd_case_inspection,qwen3:32b,3,57,103.24294736842107,0.7648092642948151
pair_20,collaborative_ssd_case_inspection,qwen3:32b,3,70,92.26476190476193,0.8030161803447362
pair_21,collaborative_ssd_case_inspection,qwen3:32b,3,66,84.15181818181821,0.6467992681581287
pair_22,collaborative_ssd_case_inspection,qwen3:32b,3,60,91.72500000000002,0.8244600903372845
pair_23,collaborative_ssd_case_inspection,qwen3:32b,3,63,87.40607142857144,0.6444084424538479
pair_24,collaborative_ssd_case_inspection,qwen3:32b,3,67,91.34419776119404,0.8772306169536801
pair_25,collaborative_ssd_case_inspection,qwen3:32b,3,76,71.18594736842107,0.7265744593585572
pair_26,collaborative_ssd_case_inspection,qwen3:32b,3,58,98.79203448275862,0.8085577977008132
pair_27,collaborative_ssd_case_inspection,qwen3:32b,3,14,47.59642857142859,0.3676481231126112
pair_28,collaborative_ssd_case_inspection,qwen3:32b,3,53,78.33000000000001,0.5786724453643197
pair_29,collaborative_ssd_case_inspection,qwen3:32b,3,30,63.585000000000036,0.47630865472703493
pair_30,collaborative_ssd_case_inspection,qwen3:32b,3,65,94.31916666666667,0.7225780963663242
pair_31,collaborative_ssd_case_inspection,qwen3:32b,3,53,56.110778301886825,0.5239418090431729
pair_32,collaborative_ssd_case_inspection,qwen3:32b,3,87,83.65039473684212,0.7408308267949815
pair_33,collaborative_ssd_case_inspection,qwen3:32b,3,64,94.22395833333336,0.7462786812858496
pair_34,collaborative_ssd_case_inspection,qwen3:32b,3,40,101.51,0.6324695481346456
pair_35,collaborative_ssd_case_inspection,qwen3:32b,3,78,97.10923076923079,0.7661082682913093
pair_36,collaborative_ssd_case_inspection,qwen3:32b,3,144,67.88588104325703,0.8050169959713049
pair_37,collaborative_ssd_case_inspection,qwen3:32b,3,65,93.42153846153849,0.8110974004497734
pair_38,collaborative_ssd_case_inspection,qwen3:32b,3,47,54.50875000000002,0.3862512517903409
pair_39,collaborative_ssd_case_inspection,qwen3:32b,3,64,92.05862500000002,0.843579518493892
pair_40,collaborative_ssd_case_inspection,qwen3:32b,3,47,72.50874999999999,0.5885955061899402
pair_41,collaborative_ssd_case_inspection,qwen3:32b,3,28,97.65452380952382,0.6652660981159235
pair_42,collaborative_ssd_case_inspection,qwen3:32b,3,60,75.99000000000002,0.760030273918666
pair_43,collaborative_ssd_case_inspection,qwen3:32b,3,72,74.59,0.7026063085390388
pair_44,collaborative_ssd_case_inspection,qwen3:32b,3,49,79.75870748299323,0.6190824513446178
pair_45,collaborative_ssd_case_inspection,qwen3:32b,3,73,90.18446347031966,0.8170851577975833
pair_46,collaborative_ssd_case_inspection,qwen3:32b,3,73,90.18446347031966,0.615944254055026
pair_47,collaborative_ssd_case_inspection,qwen3:32b,3,69,80.02800000000002,0.5939689465065062
pair_48,collaborative_ssd_case_inspection,qwen3:32b,3,60,95.73000000000002,0.7783822102759697
pair_49,collaborative_ssd_case_inspection,qwen3:32b,3,45,95.77625000000002,0.7706828520645521
