Pair ID,Dataset,Language model,Specificity,Words,Readability score,Cosine similarity,Bi-encoder similarity,Cross-encoder similarity,Cross-encoder inference
pair_0,collaborative_ssd_case_inspection,gpt-oss:20b,2,69,93.98565217391305,0.8757082693586883,0.9088408946990967,0.8431282,entailment
pair_1,collaborative_ssd_case_inspection,gpt-oss:20b,2,59,92.23604519774013,0.9152703353783718,0.871864378452301,0.7459319,neutral
pair_2,collaborative_ssd_case_inspection,gpt-oss:20b,2,144,90.30739130434785,0.950244942689816,0.9046651721000671,0.81391025,entailment
pair_3,collaborative_ssd_case_inspection,gpt-oss:20b,2,71,87.48938967136151,0.9202815080988284,0.8967170119285583,0.82726103,neutral
pair_4,collaborative_ssd_case_inspection,gpt-oss:20b,2,73,84.78872146118725,0.900799124298577,0.8281862139701843,0.8615622,entailment
pair_5,collaborative_ssd_case_inspection,gpt-oss:20b,2,101,69.63561056105614,0.8730952434209505,0.77128005027771,0.6089103,entailment
pair_6,collaborative_ssd_case_inspection,gpt-oss:20b,2,123,78.64326219512196,0.8708087717506034,0.8571740984916687,0.71219975,neutral
pair_7,collaborative_ssd_case_inspection,gpt-oss:20b,2,109,87.49675076452601,0.7806563415275942,0.8618083000183105,0.5848071,entailment
pair_8,collaborative_ssd_case_inspection,gpt-oss:20b,2,99,85.4109407216495,0.9102840329777492,0.8189601898193359,0.91150004,neutral
pair_9,collaborative_ssd_case_inspection,gpt-oss:20b,2,118,82.1987570621469,0.8322219470031098,0.8659738898277283,0.6139379,neutral
pair_10,collaborative_ssd_case_inspection,gpt-oss:20b,2,84,85.81285714285715,0.9147823854855858,0.904985785484314,0.780242,neutral
pair_11,collaborative_ssd_case_inspection,gpt-oss:20b,2,93,74.07495967741937,0.8131307281751505,0.8277145028114319,0.59924376,neutral
pair_12,collaborative_ssd_case_inspection,gpt-oss:20b,2,72,73.54400000000001,0.7595288830446667,0.8569197654724121,0.6457346,entailment
pair_13,collaborative_ssd_case_inspection,gpt-oss:20b,2,137,78.98604379562043,0.916792264234762,0.8424150943756104,0.70697755,entailment
pair_14,collaborative_ssd_case_inspection,gpt-oss:20b,2,132,83.8677272727273,0.8949686577392908,0.808203935623169,0.7056795,neutral
pair_15,collaborative_ssd_case_inspection,gpt-oss:20b,2,96,67.72375000000002,0.8922552094408641,0.806766927242279,0.6375114,contradiction
pair_16,collaborative_ssd_case_inspection,gpt-oss:20b,2,68,70.61362745098042,0.8257081562897487,0.8133226633071899,0.62817603,neutral
pair_17,collaborative_ssd_case_inspection,gpt-oss:20b,2,64,100.70750000000001,0.9151712301283385,0.8652288317680359,0.8197342,neutral
pair_18,collaborative_ssd_case_inspection,gpt-oss:20b,2,53,77.77900943396227,0.8155338408524238,0.7862983345985413,0.7336959,neutral
pair_19,collaborative_ssd_case_inspection,gpt-oss:20b,2,60,89.24500000000003,0.852152783837653,0.8312503695487976,0.8174646,neutral
pair_20,collaborative_ssd_case_inspection,gpt-oss:20b,2,92,84.3575,0.8972637418908032,0.8254839777946472,0.7684237,contradiction
pair_21,collaborative_ssd_case_inspection,gpt-oss:20b,2,140,69.1857142857143,0.8590519371620895,0.7921329736709595,0.7124689,entailment
pair_22,collaborative_ssd_case_inspection,gpt-oss:20b,2,100,82.47800000000002,0.8819527492717435,0.8226054310798645,0.7873456,entailment
pair_23,collaborative_ssd_case_inspection,gpt-oss:20b,2,90,81.53750000000002,0.8389687026157508,0.8299381136894226,0.74195915,neutral
pair_24,collaborative_ssd_case_inspection,gpt-oss:20b,2,144,89.06250000000003,0.9274180149200504,0.8839061260223389,0.8409609,contradiction
pair_25,collaborative_ssd_case_inspection,gpt-oss:20b,2,96,80.92384057971016,0.8624500176649165,0.8454844951629639,0.6014282,contradiction
pair_26,collaborative_ssd_case_inspection,gpt-oss:20b,2,51,90.05058823529413,0.6193612468805989,0.8478183150291443,0.7169428,neutral
pair_27,collaborative_ssd_case_inspection,gpt-oss:20b,2,129,72.43869767441863,0.8133817910753454,0.8238706588745117,0.68575525,entailment
pair_28,collaborative_ssd_case_inspection,gpt-oss:20b,2,79,81.84191455696205,0.8802888878708284,0.8562307357788086,0.77394235,neutral
pair_29,collaborative_ssd_case_inspection,gpt-oss:20b,2,125,79.74520000000001,0.7930402769924535,0.810478150844574,0.6621933,entailment
pair_30,collaborative_ssd_case_inspection,gpt-oss:20b,2,78,86.17326923076925,0.8754012715066131,0.7403429746627808,0.7396241,neutral
pair_31,collaborative_ssd_case_inspection,gpt-oss:20b,2,104,76.71915384615386,0.7152432225074514,0.8163478970527649,0.59782845,neutral
pair_32,collaborative_ssd_case_inspection,gpt-oss:20b,2,84,71.71285714285715,0.89075016853027,0.8158473372459412,0.62453777,neutral
pair_33,collaborative_ssd_case_inspection,gpt-oss:20b,2,72,89.65000000000002,0.8802025550487983,0.8697120547294617,0.8260916,neutral
pair_34,collaborative_ssd_case_inspection,gpt-oss:20b,2,49,88.73484693877553,0.8382887205795879,0.8615667223930359,0.8600242,entailment
pair_35,collaborative_ssd_case_inspection,gpt-oss:20b,2,103,86.24243932038839,0.9346139026598937,0.9018300771713257,0.89563346,entailment
pair_36,collaborative_ssd_case_inspection,gpt-oss:20b,2,82,76.66652439024391,0.8151300506073682,0.7551083564758301,0.55080193,neutral
pair_37,collaborative_ssd_case_inspection,gpt-oss:20b,2,107,74.96417445482868,0.9255452572780306,0.8811224102973938,0.7612024,neutral
pair_38,collaborative_ssd_case_inspection,gpt-oss:20b,2,89,83.49169943820225,0.7692638468738666,0.871572732925415,0.5355894,entailment
pair_39,collaborative_ssd_case_inspection,gpt-oss:20b,2,107,91.02614953271029,0.9290904635084273,0.8869054913520813,0.868355,entailment
pair_40,collaborative_ssd_case_inspection,gpt-oss:20b,2,61,73.2479918032787,0.7293553443138006,0.8109111189842224,0.7352557,entailment
pair_41,collaborative_ssd_case_inspection,gpt-oss:20b,2,82,85.20630081300813,0.905638633070951,0.895903468132019,0.8899601,entailment
pair_42,collaborative_ssd_case_inspection,gpt-oss:20b,2,128,70.83947916666668,0.8639244637932564,0.7891893982887268,0.7262527,neutral
pair_43,collaborative_ssd_case_inspection,gpt-oss:20b,2,158,73.55350210970467,0.8871348042019299,0.851007342338562,0.60709924,contradiction
pair_44,collaborative_ssd_case_inspection,gpt-oss:20b,2,97,71.45630154639176,0.8474367478733074,0.8123828768730164,0.60368145,contradiction
pair_45,collaborative_ssd_case_inspection,gpt-oss:20b,2,163,71.53141871165644,0.9029456394052392,0.8045464158058167,0.7525443,neutral
pair_46,collaborative_ssd_case_inspection,gpt-oss:20b,2,65,71.60948717948719,0.7480971537270628,0.7976550459861755,0.6245024,neutral
pair_47,collaborative_ssd_case_inspection,gpt-oss:20b,2,86,75.43135658914731,0.890881922594022,0.8218659162521362,0.70312184,contradiction
pair_48,collaborative_ssd_case_inspection,gpt-oss:20b,2,104,85.27000000000002,0.9346873208610781,0.8914593458175659,0.8781589,entailment
pair_49,collaborative_ssd_case_inspection,gpt-oss:20b,2,73,83.6298173515982,0.9452083867699783,0.8678630590438843,0.8841379,entailment
