Pair ID,Explanation
pair_0,"'TR1 1 HRC' is plan with same cost as and is plan with same number of tasks as and is slower plan than 'TR2 1 HRC'. 
"
pair_1,"'TR1 1 HRC' is plan with same cost as and is plan with same number of tasks as and is faster plan than 'TR1 2 HRC'. 
"
pair_2,"'TR1 1 HRC' is plan with same cost as and is plan with same number of tasks as and is faster plan than 'TR2 2 HRC'. 
"
pair_3,"'TR1 1 HRC' is plan with same cost as and is plan with same number of tasks as and is faster plan than 'TR1 3 HRC'. 
"
pair_4,"'TR1 1 HRC' is plan with same cost as and is plan with same number of tasks as and is faster plan than 'TR2 3 HRC'. 
"
pair_5,"'TR1 1 HRC' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'TR1 1 HRC CS 90'. 
"
pair_6,"'TR1 1 HRC' is plan with same cost as and is plan with same number of tasks as and is faster plan than 'TR2 1 HRC CS 90'. 
"
pair_7,"'TR1 1 HRC' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'TR1 2 HRC CS 90'. 
"
pair_8,"'TR1 1 HRC' is plan with same cost as and is plan with same number of tasks as and is faster plan than 'TR2 2 HRC CS 90'. 
"
pair_9,"'TR1 1 HRC' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'TR1 3 HRC CS 90'. 
"
pair_10,"'TR1 1 HRC' is plan with same cost as and is plan with same number of tasks as and is faster plan than 'TR2 3 HRC CS 90'. 
"
pair_11,"'TR1 1 HRC' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'TR1 1 HRC CS 95'. 
"
pair_12,"'TR1 1 HRC' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'TR2 1 HRC CS 95'. 
"
pair_13,"'TR1 1 HRC' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'TR1 2 HRC CS 95'. 
"
pair_14,"'TR1 1 HRC' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'TR2 2 HRC CS 95'. 
"
pair_15,"'TR1 1 HRC' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'TR1 3 HRC CS 95'. 
"
pair_16,"'TR1 1 HRC' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'TR2 3 HRC CS 95'. 
"
pair_17,"'TR2 1 HRC' is plan with same cost as and is plan with same number of tasks as and is faster plan than 'TR1 2 HRC'. 
"
pair_18,"'TR2 1 HRC' is plan with same cost as and is plan with same number of tasks as and is faster plan than 'TR2 2 HRC'. 
"
pair_19,"'TR2 1 HRC' is plan with same cost as and is plan with same number of tasks as and is faster plan than 'TR1 3 HRC'. 
"
pair_20,"'TR2 1 HRC' is plan with same cost as and is plan with same number of tasks as and is faster plan than 'TR2 3 HRC'. 
"
pair_21,"'TR2 1 HRC' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'TR1 1 HRC CS 90'. 
"
pair_22,"'TR2 1 HRC' is plan with same cost as and is plan with same number of tasks as and is faster plan than 'TR2 1 HRC CS 90'. 
"
pair_23,"'TR2 1 HRC' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'TR1 2 HRC CS 90'. 
"
pair_24,"'TR2 1 HRC' is plan with same cost as and is plan with same number of tasks as and is faster plan than 'TR2 2 HRC CS 90'. 
"
pair_25,"'TR2 1 HRC' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'TR1 3 HRC CS 90'. 
"
pair_26,"'TR2 1 HRC' is plan with same cost as and is plan with same number of tasks as and is faster plan than 'TR2 3 HRC CS 90'. 
"
pair_27,"'TR2 1 HRC' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'TR1 1 HRC CS 95'. 
"
pair_28,"'TR2 1 HRC' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'TR2 1 HRC CS 95'. 
"
pair_29,"'TR2 1 HRC' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'TR1 2 HRC CS 95'. 
"
pair_30,"'TR2 1 HRC' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'TR2 2 HRC CS 95'. 
"
pair_31,"'TR2 1 HRC' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'TR1 3 HRC CS 95'. 
"
pair_32,"'TR2 1 HRC' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'TR2 3 HRC CS 95'. 
"
pair_33,"'TR1 2 HRC' is plan with same cost as and is plan with same number of tasks as and is faster plan than 'TR2 2 HRC'. 
"
pair_34,"'TR1 2 HRC' is plan with same cost as and is plan with same number of tasks as and is slower plan than 'TR1 3 HRC'. 
"
